site,test_loss
"(-50.0, 180)",1.0025361023058812
"(-50.0, 20)",1.0996672125982105
"(-50.0, 40)",1.2003929209553321
"(-50.0, 60)",1.1287246197183465
"(-50.0, 80)",1.0184269013508667
"(-62.5, -100)",1.1907957427602105
"(-62.5, -120)",0.9778639475331871
"(-62.5, -140)",0.86814457983224
"(-62.5, -160)",0.8920988770735482
"(-62.5, -180)",1.0834017326247671
"(-62.5, -20)",1.087044361629122
"(-62.5, -40)",1.2329906707290874
"(-62.5, -60)",1.3547290988336151
"(-62.5, -80)",1.292708601851259
"(-62.5, 0)",1.1122887181667869
"(-62.5, 100)",1.0048555436652369
"(-62.5, 120)",1.166236061197224
"(-62.5, 140)",1.0547588075393608
"(-62.5, 160)",1.2141336373401277
"(-62.5, 180)",1.1336482021105005
"(-62.5, 20)",1.1001743120245178
"(-62.5, 40)",1.2612020483744582
"(-62.5, 60)",1.1590229955210172
"(-62.5, 80)",0.9608351153037128
"(-75.0, -100)",1.1834147325330888
"(-75.0, -120)",1.133713222924964
"(-75.0, -140)",1.2478727147002995
"(-75.0, -160)",1.3359188460516676
"(-75.0, -180)",1.38665428302332
"(-75.0, -20)",1.2210699291101457
"(-75.0, -40)",1.522391876214333
"(-75.0, -60)",1.3345108854367245
"(-75.0, -80)",1.2450523450683575
"(-75.0, 0)",1.3408585356070264
"(-75.0, 100)",0.9106737229846199
"(-75.0, 120)",1.0773876298770806
"(-75.0, 140)",1.3527214264807448
"(-75.0, 160)",1.5663343223096848
"(-75.0, 180)",1.4136845541612055
"(-75.0, 20)",1.1017837958869845
"(-75.0, 40)",1.05061387824024
"(-75.0, 60)",1.0812247883173691
"(-75.0, 80)",1.1444382774754045
"(-87.5, -100)",1.2606572113808139
"(-87.5, -120)",1.266418252748398
"(-87.5, -140)",1.3058804594921423
"(-87.5, -160)",1.4030217916727195
"(-87.5, -180)",1.3411379523324447
"(-87.5, -20)",1.3728052545191358
"(-87.5, -40)",1.222149406516689
"(-87.5, -60)",1.2151502249419515
"(-87.5, -80)",1.2739563345924196
"(-87.5, 0)",1.3206460960312854
"(-87.5, 100)",1.2743987021218321
"(-87.5, 120)",1.3031255792924714
"(-87.5, 140)",1.3178114981791798
"(-87.5, 160)",1.353557619980601
"(-87.5, 180)",1.3202086695413284
"(-87.5, 20)",1.490691682207684
"(-87.5, 40)",1.2474955729462942
"(-87.5, 60)",1.25440589480342
"(-87.5, 80)",1.348332990426408
"(0.0, -100)",2.669525738614497
"(0.0, -120)",2.232412802774539
"(0.0, -140)",2.696514599975816
"(0.0, -160)",3.160078387882284
"(0.0, -180)",2.609221282412739
"(0.0, -20)",1.7977091731975716
"(0.0, -40)",2.294865596482592
"(0.0, -60)",2.216794436722762
"(0.0, -80)",2.9616754751966425
"(0.0, 0)",2.105600417637377
"(0.0, 100)",2.692644514470933
"(0.0, 120)",2.5328481606299644
"(0.0, 140)",2.398973230934316
"(0.0, 160)",2.0303804125397926
"(0.0, 180)",2.5810826829919122
"(0.0, 20)",2.167155140237477
"(0.0, 40)",1.9314337087950428
"(0.0, 60)",1.983376847462672
"(0.0, 80)",2.4944847230798515
"(12.5, -100)",2.48150589415974
"(12.5, -120)",2.3436144918316564
"(12.5, -140)",2.91396818586619
"(12.5, -160)",3.75414033121861
"(12.5, -180)",2.939589093387421
"(12.5, -20)",2.2516952630901494
"(12.5, -40)",2.486728518776226
"(12.5, -60)",2.5092866435074646
"(12.5, -80)",2.3498094841895885
"(12.5, 0)",1.974594708163798
"(12.5, 100)",2.1481131135075655
"(12.5, 120)",2.306215488235702
"(12.5, 140)",2.032625031259978
"(12.5, 160)",1.91536174275192
"(12.5, 180)",2.73514996879011
"(12.5, 20)",2.118343869750946
"(12.5, 40)",1.8571015129477588
"(12.5, 60)",2.0475238063659567
"(12.5, 80)",2.3052097261771167
"(25.0, -100)",1.682656298705365
"(25.0, -120)",1.8968945211421828
